ID,Lat,Lon
N00E003,0,3
N00E000,0,0
N00E045,0,45
N00E048,0,48
N00E051,0,51
N00E054,0,54
N00E057,0,57
N00E060,0,60
N00E063,0,63
N00E066,0,66
N00E069,0,69
N00E075,0,75
N00E078,0,78
N00E081,0,81
N00E084,0,84
N00E087,0,87
N00E090,0,90
N00E093,0,93
N00E153,0,153
N00E156,0,156
N00E159,0,159
N00E162,0,162
N00E168,0,168
N00E171,0,171
N00E177,0,177
N00W003,0,-3
N00W006,0,-6
N00W009,0,-9
N00W012,0,-12
N00W015,0,-15
N00W021,0,-21
N00W018,0,-18
N00W024,0,-24
N00W027,0,-27
N00W030,0,-30
N00W033,0,-33
N00W036,0,-36
N00W039,0,-39
N00W087,0,-87
N00W096,0,-96
N00W099,0,-99
N00W105,0,-105
N00W102,0,-102
N00W108,0,-108
N00W111,0,-111
N00W114,0,-114
N00W117,0,-117
N00W120,0,-120
N00W123,0,-123
N00W129,0,-129
N00W126,0,-126
N00W132,0,-132
N00W135,0,-135
N00W138,0,-138
N00W141,0,-141
N00W144,0,-144
N00W147,0,-147
N00W150,0,-150
N00W153,0,-153
N00W156,0,-156
N00W159,0,-159
N00W162,0,-162
N00W165,0,-165
N00W168,0,-168
N00W171,0,-171
N00W177,0,-177
N00W180,0,-180
N03E000,3,0
N03E003,3,3
N03E048,3,48
N03E051,3,51
N03E054,3,54
N03E057,3,57
N03E060,3,60
N03E063,3,63
N03E066,3,66
N03E069,3,69
N03E075,3,75
N03E078,3,78
N03E081,3,81
N03E084,3,84
N03E087,3,87
N03E090,3,90
N03E135,3,135
N03E138,3,138
N03E141,3,141
N03E144,3,144
N03E147,3,147
N03E150,3,150
N03E153,3,153
N03E156,3,156
N03E159,3,159
N03E162,3,162
N03E165,3,165
N03E168,3,168
N03E174,3,174
N03E177,3,177
N03W003,3,-3
N03W006,3,-6
N03W009,3,-9
N03W012,3,-12
N03W015,3,-15
N03W018,3,-18
N03W021,3,-21
N03W024,3,-24
N03W027,3,-27
N03W030,3,-30
N03W033,3,-33
N03W036,3,-36
N03W039,3,-39
N03W042,3,-42
N03W045,3,-45
N03W048,3,-48
N03W084,3,-84
N03W087,3,-87
N03W096,3,-96
N03W099,3,-99
N03W102,3,-102
N03W105,3,-105
N03W108,3,-108
N03W111,3,-111
N03W114,3,-114
N03W117,3,-117
N03W120,3,-120
N03W123,3,-123
N03W126,3,-126
N03W129,3,-129
N03W132,3,-132
